dt,ranking_id,customer_id,impressions
2025-07-02,r1,2,"[{""item_id"": 2, ""is_order"": true}]"
2025-07-03,r2,3,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 5, ""is_order"": false}, {""item_id"": 8, ""is_order"": true}]"
2025-07-04,r3,4,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 6, ""is_order"": false}, {""item_id"": 10, ""is_order"": false}]"
2025-07-05,r4,5,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 7, ""is_order"": false}, {""item_id"": 12, ""is_order"": false}]"
2025-07-06,r5,6,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 8, ""is_order"": false}, {""item_id"": 14, ""is_order"": true}]"
2025-07-07,r6,7,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-08,r7,8,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 10, ""is_order"": false}, {""item_id"": 18, ""is_order"": true}]"
2025-07-09,r8,9,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 11, ""is_order"": false}, {""item_id"": 20, ""is_order"": false}]"
2025-07-10,r9,10,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 12, ""is_order"": false}]"
2025-07-11,r10,11,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 13, ""is_order"": false}, {""item_id"": 24, ""is_order"": false}]"
2025-07-12,r11,12,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 14, ""is_order"": false}, {""item_id"": 26, ""is_order"": false}]"
2025-07-13,r12,13,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-14,r13,14,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 16, ""is_order"": false}, {""item_id"": 30, ""is_order"": false}]"
2025-07-15,r14,15,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-16,r15,16,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 18, ""is_order"": false}, {""item_id"": 34, ""is_order"": false}]"
2025-07-17,r16,17,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 19, ""is_order"": false}, {""item_id"": 36, ""is_order"": false}]"
2025-07-18,r17,18,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 20, ""is_order"": false}, {""item_id"": 38, ""is_order"": false}]"
2025-07-19,r18,19,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 21, ""is_order"": false}, {""item_id"": 40, ""is_order"": false}]"
2025-07-20,r19,20,"[{""item_id"": 2, ""is_order"": true}]"
2025-07-21,r20,21,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 23, ""is_order"": true}, {""item_id"": 44, ""is_order"": false}]"
2025-07-22,r21,22,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-23,r22,23,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 25, ""is_order"": false}, {""item_id"": 48, ""is_order"": false}]"
2025-07-24,r23,24,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-25,r24,25,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 27, ""is_order"": false}]"
2025-07-26,r25,26,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-27,r26,27,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 29, ""is_order"": false}, {""item_id"": 56, ""is_order"": false}]"
2025-07-28,r27,28,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 30, ""is_order"": true}, {""item_id"": 58, ""is_order"": true}]"
2025-07-29,r28,29,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-30,r29,30,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 32, ""is_order"": false}, {""item_id"": 62, ""is_order"": false}]"
2025-07-01,r30,31,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 33, ""is_order"": false}]"
2025-07-02,r31,32,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 34, ""is_order"": false}, {""item_id"": 66, ""is_order"": false}]"
2025-07-03,r32,33,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 35, ""is_order"": false}, {""item_id"": 68, ""is_order"": true}]"
2025-07-04,r33,34,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 36, ""is_order"": false}, {""item_id"": 70, ""is_order"": false}]"
2025-07-05,r34,35,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 37, ""is_order"": false}]"
2025-07-06,r35,36,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 38, ""is_order"": true}]"
2025-07-07,r36,37,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 39, ""is_order"": true}, {""item_id"": 76, ""is_order"": false}]"
2025-07-08,r37,38,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 40, ""is_order"": false}, {""item_id"": 78, ""is_order"": false}]"
2025-07-09,r38,39,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-10,r39,40,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-11,r40,41,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 43, ""is_order"": false}, {""item_id"": 84, ""is_order"": true}]"
2025-07-12,r41,42,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 44, ""is_order"": false}, {""item_id"": 86, ""is_order"": false}]"
2025-07-13,r42,43,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 45, ""is_order"": false}]"
2025-07-14,r43,44,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 46, ""is_order"": true}, {""item_id"": 90, ""is_order"": false}]"
2025-07-15,r44,45,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 47, ""is_order"": false}]"
2025-07-16,r45,46,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-17,r46,47,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 49, ""is_order"": false}]"
2025-07-18,r47,48,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 50, ""is_order"": false}]"
2025-07-19,r48,49,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 51, ""is_order"": false}, {""item_id"": 100, ""is_order"": false}]"
2025-07-20,r49,50,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-21,r50,51,"[{""item_id"": 2, ""is_order"": true}]"
2025-07-22,r51,52,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 54, ""is_order"": false}, {""item_id"": 106, ""is_order"": false}]"
2025-07-23,r52,53,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 55, ""is_order"": false}, {""item_id"": 108, ""is_order"": false}]"
2025-07-24,r53,54,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 56, ""is_order"": false}, {""item_id"": 110, ""is_order"": false}]"
2025-07-25,r54,55,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 57, ""is_order"": false}]"
2025-07-26,r55,56,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 58, ""is_order"": false}, {""item_id"": 114, ""is_order"": false}]"
2025-07-27,r56,57,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 59, ""is_order"": false}, {""item_id"": 116, ""is_order"": false}]"
2025-07-28,r57,58,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 60, ""is_order"": false}]"
2025-07-29,r58,59,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 61, ""is_order"": false}, {""item_id"": 120, ""is_order"": false}]"
2025-07-30,r59,60,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-01,r60,61,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-02,r61,62,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 64, ""is_order"": false}]"
2025-07-03,r62,63,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 65, ""is_order"": false}, {""item_id"": 128, ""is_order"": false}]"
2025-07-04,r63,64,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 66, ""is_order"": false}]"
2025-07-05,r64,65,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 67, ""is_order"": false}, {""item_id"": 132, ""is_order"": false}]"
2025-07-06,r65,66,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 68, ""is_order"": false}, {""item_id"": 134, ""is_order"": false}]"
2025-07-07,r66,67,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-08,r67,68,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-09,r68,69,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 71, ""is_order"": false}, {""item_id"": 140, ""is_order"": false}]"
2025-07-10,r69,70,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 72, ""is_order"": false}]"
2025-07-11,r70,71,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 73, ""is_order"": false}]"
2025-07-12,r71,72,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 74, ""is_order"": false}]"
2025-07-13,r72,73,"[{""item_id"": 2, ""is_order"": true}]"
2025-07-14,r73,74,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-15,r74,75,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 77, ""is_order"": true}]"
2025-07-16,r75,76,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 78, ""is_order"": false}]"
2025-07-17,r76,77,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-18,r77,78,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 80, ""is_order"": false}]"
2025-07-19,r78,79,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-20,r79,80,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 82, ""is_order"": true}, {""item_id"": 162, ""is_order"": false}]"
2025-07-21,r80,81,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 83, ""is_order"": false}, {""item_id"": 164, ""is_order"": false}]"
2025-07-22,r81,82,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-23,r82,83,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 85, ""is_order"": false}]"
2025-07-24,r83,84,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-25,r84,85,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 87, ""is_order"": false}, {""item_id"": 172, ""is_order"": false}]"
2025-07-26,r85,86,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 88, ""is_order"": false}]"
2025-07-27,r86,87,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 89, ""is_order"": false}]"
2025-07-28,r87,88,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 90, ""is_order"": false}, {""item_id"": 178, ""is_order"": false}]"
2025-07-29,r88,89,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 91, ""is_order"": false}]"
2025-07-30,r89,90,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 92, ""is_order"": false}]"
2025-07-01,r90,91,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 93, ""is_order"": false}, {""item_id"": 184, ""is_order"": false}]"
2025-07-02,r91,92,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 94, ""is_order"": false}, {""item_id"": 186, ""is_order"": false}]"
2025-07-03,r92,93,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-04,r93,94,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 96, ""is_order"": false}]"
2025-07-05,r94,95,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 97, ""is_order"": false}]"
2025-07-06,r95,96,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 98, ""is_order"": false}]"
2025-07-07,r96,97,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 99, ""is_order"": false}]"
2025-07-08,r97,98,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 100, ""is_order"": false}, {""item_id"": 198, ""is_order"": false}]"
2025-07-09,r98,99,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-10,r99,100,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 102, ""is_order"": false}]"
2025-07-11,r100,101,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 103, ""is_order"": false}]"
2025-07-12,r101,102,"[{""item_id"": 2, ""is_order"": true}]"
2025-07-13,r102,103,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 105, ""is_order"": false}]"
2025-07-14,r103,104,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-15,r104,105,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 107, ""is_order"": false}, {""item_id"": 212, ""is_order"": false}]"
2025-07-16,r105,106,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 108, ""is_order"": false}, {""item_id"": 214, ""is_order"": false}]"
2025-07-17,r106,107,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 109, ""is_order"": false}]"
2025-07-18,r107,108,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-19,r108,109,"[{""item_id"": 2, ""is_order"": true}]"
2025-07-20,r109,110,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 112, ""is_order"": false}, {""item_id"": 222, ""is_order"": false}]"
2025-07-21,r110,111,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-22,r111,112,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-23,r112,113,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 115, ""is_order"": false}]"
2025-07-24,r113,114,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 116, ""is_order"": false}]"
2025-07-25,r114,115,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-26,r115,116,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 118, ""is_order"": false}, {""item_id"": 234, ""is_order"": false}]"
2025-07-27,r116,117,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 119, ""is_order"": false}]"
2025-07-28,r117,118,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 120, ""is_order"": false}]"
2025-07-29,r118,119,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 121, ""is_order"": false}, {""item_id"": 240, ""is_order"": false}]"
2025-07-30,r119,120,"[{""item_id"": 2, ""is_order"": false}, {""item_id"": 122, ""is_order"": true}]"
2025-07-01,r120,121,"[{""item_id"": 2, ""is_order"": false}]"
2025-07-02,r121,122,"[{""item_id"": 2, ""is_order"": true}, {""item_id"": 124, ""is_order"": true}, {""item_id"": 246, ""is_order"": false}]"
2025-07-03,r122,123,"[{""item_id"": 2, ""is_order"": false}]"
